Repository Name;Description;Language;Stars;Forks;URL
"unclecode /

      crawl4ai";ğŸ”¥ğŸ•·ï¸ Crawl4AI: Open-source LLM Friendly Web Crawler & Scrapper;Python;8,101;592;https://github.com/unclecode/crawl4ai
"exo-explore /

      exo";Run your own AI cluster at home with everyday devices ğŸ“±ğŸ’» ğŸ–¥ï¸âŒš;Python;8,510;433;https://github.com/exo-explore/exo
"mediar-ai /

      screenpipe";24/7 local AI screen & mic recording. Build AI apps that have the full context. Works with Ollama. Alternative to Rewind.ai. Open. Secure. You own your data. Rust.;Rust;3,503;183;https://github.com/mediar-ai/screenpipe
"tw93 /

      Pake";ğŸ¤±ğŸ» Turn any webpage into a desktop app with Rust. ğŸ¤±ğŸ» åˆ©ç”¨ Rust è½»æ¾æ„å»ºè½»é‡çº§å¤šç«¯æ¡Œé¢åº”ç”¨;Rust;29,337;5,077;https://github.com/tw93/Pake
"maybe-finance /

      maybe";The OS for your personal finances;Ruby;30,189;2,261;https://github.com/maybe-finance/maybe
"EbookFoundation /

      free-programming-books";ğŸ“š Freely available programming books;No language;334,853;61,240;https://github.com/EbookFoundation/free-programming-books
"kamranahmedse /

      developer-roadmap";Interactive roadmaps, guides and other educational content to help developers grow in their careers.;TypeScript;293,226;38,730;https://github.com/kamranahmedse/developer-roadmap
"paul-gauthier /

      aider";aider is AI pair programming in your terminal;Python;19,623;1,799;https://github.com/paul-gauthier/aider
"ente-io /

      ente";Fully open source, End to End Encrypted alternative to Google Photos and Apple Photos;Dart;14,872;768;https://github.com/ente-io/ente
"Ryujinx /

      Ryujinx";Experimental Nintendo Switch Emulator written in C#;C#;34,976;3,984;https://github.com/Ryujinx/Ryujinx
"microsoft /

      RD-Agent";Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automate these high-value generic R&D processes through our open source R&D automation tool RD-Agent, which let AI drive data-driven AI.;Python;693;51;https://github.com/microsoft/RD-Agent
"krishnadey30 /

      LeetCode-Questions-CompanyWise";Contains Company Wise Questions sorted based on Frequency and all time;No language;10,103;3,414;https://github.com/krishnadey30/LeetCode-Questions-CompanyWise
"kestra-io /

      kestra";Orchestration and automation platform to execute millions of scheduled and event-driven workflows declaratively in code and from the UI;Java;9,233;606;https://github.com/kestra-io/kestra
"Cinnamon /

      kotaemon";An open-source RAG-based tool for chatting with your documents.;Python;12,958;973;https://github.com/Cinnamon/kotaemon
"immich-app /

      immich";High performance self-hosted photo and video management solution.;TypeScript;46,804;2,316;https://github.com/immich-app/immich
"RVC-Boss /

      GPT-SoVITS";1 min voice data can also be used to train a good TTS model! (few shot voice cloning);Python;33,338;3,831;https://github.com/RVC-Boss/GPT-SoVITS
"AUTOMATIC1111 /

      stable-diffusion-webui";Stable Diffusion web UI;Python;140,479;26,585;https://github.com/AUTOMATIC1111/stable-diffusion-webui
"Hannibal046 /

      Awesome-LLM";Awesome-LLM: a curated list of Large Language Model;No language;17,867;1,443;https://github.com/Hannibal046/Awesome-LLM
